AB_2;MN_2;I;Unidad_I;V;Unidad_V;R;Unidad_R;PS;Unidad_PS;Latitud;Longitud
1;0.5;12;mA;19.1;uV;1.6;mOhm;57.9;mV;-5.178075;-80.61461
3;0.5;12;mA;38.1;uV;3.2;mOhm;54.6;mV;-5.178075;-80.61461
3;1;12;mA;152.6;uV;12.7;mOhm;99.9;mV;-5.178075;-80.61461
5;1;12;mA;19.1;uV;1.6;mOhm;96.2;mV;-5.178075;-80.61461
7;1;12;mA;28.6;uV;2.4;mOhm;99;mV;-5.178075;-80.61461
10;1;12;mA;19.1;uV;1.6;mOhm;105;mV;-5.178075;-80.61461
15;1;12;mA;9.6;uV;798.7;mOhm;111.1;mV;-5.178075;-80.61461
15;3;12;mA;95.3;uV;7.9;mOhm;132.5;mV;-5.178075;-80.61461
20;3;12;mA;38.2;uV;3.2;mOhm;135.2;mV;-5.178075;-80.61461
30;3;12;mA;19.1;uV;1.6;mOhm;142.5;mV;-5.178075;-80.61461
40;3;12;mA;19.1;uV;1.6;mOhm;146.4;mV;-5.178075;-80.61461
40;5;12;mA;57.2;uV;4.8;mOhm;97.6;mV;-5.178075;-80.61461
50;5;12;mA;19.1;uV;1.6;mOhm;105.6;mV;-5.178075;-80.61461
60;5;12;mA;95.4;uV;7.9;mOhm;107.3;mV;-5.178075;-80.61461
80;5;12;mA;410.1;uV;34.1;mOhm;103.1;mV;-5.178075;-80.61461
80;10;12;mA;66.8;uV;5.6;mOhm;35.9;mV;-5.178075;-80.61461
100;10;12;mA;19.1;uV;1.6;mOhm;37.3;mV;-5.17657;-80.61461
